candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v6_trend_carry_mkt_5p,True,trend_carry,2014-01-02,2026-09-25,12.73,0.175071,0.012755,0.395869,0.552234,-0.082693,0.034452,175070.67703,1.735682,157,1.951487,0.369427,7053.524412,-2117.547756,3.330987,1270.491643,0.293889,7,12.334749,1498.426752,4966.52618,26463.221241,177970.492968,0.027906,31.633925,3.282331,0.919788,1.411827,0.6923076923076923,0.2730049410615487,0.07175718043771329,0.09639636521979678,4,0.5812037430588396,1.667422,0.119704,0.8952,3,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",1,0.6061427181972577,1.283503297273531,-56549.60550391191,0.7302501751379291,0.13266954581515947,0.015638901413347783,sharpe;few_positive_pairs;top5_trade_dependence;top1_trade_dependence,REJECTED
v6_carry_trend_mkt_7p,True,trend_carry,2014-01-02,2026-09-25,12.73,0.213938,0.015348,0.434233,0.594629,-0.087478,0.03751,213938.358187,1.959788,141,2.299004,0.41844,7366.898033,-2305.594933,3.195227,1741.76028,0.391557,7,11.077705,1894.156028,4737.228218,46787.889656,203537.538029,0.023274,33.597363,2.778691,0.937604,1.548649,0.7692307692307693,0.19702498555853476,0.0612116836038592,0.1439172569839704,5,0.4753279323353436,1.497073,0.088465,0.918,3,"{""sizing"": ""risk_stop""}",1,0.49231023235033305,1.0451637280161425,-11091.678644753003,0.9413321170181354,0.190513590464452,0.05900380283238915,top5_trade_dependence;top1_trade_dependence,REJECTED
v6_carry_trend_daily_mkt_7p,True,trend_carry,2014-01-02,2026-09-25,12.73,0.275182,0.019282,0.522722,0.727555,-0.081218,0.038731,275181.93363,2.588903,224,2.47724,0.415179,5330.6611,-1527.65272,3.489446,1319.772214,0.281726,10,17.598623,1220.053571,8084.648065,59154.027207,244559.596794,0.033058,36.092179,4.160347,0.96781,1.864236,0.6923076923076923,0.23427834584303592,0.05207252737221135,0.21206656428463866,6,0.7605566822201691,1.705056,0.142248,0.9557,3,"{""threshold"": 0.5}",1,0.4060520819394112,0.9201632445491559,23602.058255939337,1.1179380504667331,0.2000954981477938,0.08817778187345149,single_regime_dependence;top1_trade_dependence,REJECTED
