candidate,spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,regime4h,HIGH_VOL,11,10192.505106018332,0.36363636363636365,1.6469452687332375
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,regime4h,NEUTRAL,37,22596.95690782935,0.40540540540540543,1.646862988330458
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,regime4h,RANGE,40,115931.07629948878,0.45,3.266455941819609
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,regime4h,TREND,69,50746.649714996995,0.30434782608695654,1.4707549159711721
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,month_dir,DOWN,38,-21093.053311510816,0.2894736842105263,0.676779681579536
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,month_dir,FLAT,90,201262.53230047305,0.37777777777777777,2.854970636463099
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,month_dir,UP,29,19297.709039371228,0.4482758620689655,1.5378533006953226
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,month_vol,HIGH_VOL,36,2510.3692513692513,0.4166666666666667,1.0594589077264707
v6_trend_carry_mkt_5p,v6_trend_carry_mkt_5p,month_vol,LOW_VOL,121,196956.8187769642,0.35537190082644626,2.1764446322866906
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,regime4h,HIGH_VOL,10,8876.004577111802,0.5,1.7381091983542265
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,regime4h,NEUTRAL,33,110824.29390371496,0.48484848484848486,4.215977346914882
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,regime4h,RANGE,36,116734.93105914864,0.4444444444444444,3.279596402675729
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,regime4h,TREND,62,9152.969928159804,0.3548387096774194,1.1001810017088292
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,month_dir,DOWN,34,-570.5535511811436,0.38235294117647056,0.9894063523769719
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,month_dir,FLAT,81,240971.4139065643,0.4074074074074074,3.566554989699165
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,month_dir,UP,26,5187.339112752106,0.5,1.1255660112482648
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,month_vol,HIGH_VOL,41,363.77510628300297,0.43902439024390244,1.005473390518678
v6_carry_trend_mkt_7p,v6_carry_trend_mkt_7p,month_vol,LOW_VOL,100,245224.42436185217,0.41,3.0002595087353
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,regime4h,HIGH_VOL,14,-9376.560884995748,0.2857142857142857,0.5325575148781118
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,regime4h,NEUTRAL,62,231973.99914291414,0.45161290322580644,6.241746296168219
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,regime4h,RANGE,62,15951.852224496479,0.46774193548387094,1.286516872276923
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,regime4h,TREND,86,57079.685453001264,0.37209302325581395,1.7123115233589548
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,month_dir,DOWN,45,17566.887269632593,0.5333333333333333,1.3771947764367953
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,month_dir,FLAT,122,58753.98066090681,0.3360655737704918,1.5089438097612087
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,month_dir,UP,57,219308.10800487667,0.49122807017543857,6.755047602130614
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,month_vol,HIGH_VOL,59,43039.347374768324,0.3559322033898305,1.8413367268873573
v6_carry_trend_daily_mkt_7p,v6_carry_trend_daily_mkt_7p,month_vol,LOW_VOL,165,252589.62856064778,0.43636363636363634,2.695612558288005
