candidate,pair,trades,pnl_jpy,profit_factor,win_rate,avg_cost_jpy,swap_jpy
v16_equity_rebal,AUDJPY,27,4795.182824331991,1.0477538061336056,0.48148148148148145,70.55555555555317,-813.3161116234396
v16_equity_rebal,AUDUSD,18,6120.323976343851,1.1267668129491197,0.5,88.18657500000381,-2122.319589932232
v16_equity_rebal,EURJPY,26,-4158.1601256800495,0.9490203977005468,0.5,46.711538461527226,-9676.75481981085
v16_equity_rebal,EURUSD,21,-54014.4898955808,0.4101556517304974,0.2857142857142857,36.655660357171556,-7373.682951169649
v16_equity_rebal,GBPJPY,31,4896.958047506518,1.0453866504088527,0.4838709677419355,79.54838709677449,-21.025172064265348
v16_equity_rebal,GBPUSD,18,-21852.58036076089,0.683906059951452,0.3333333333333333,51.78601097223883,-9196.389882557542
v16_equity_rebal,NZDUSD,27,-98735.2121312,0.2416297161719441,0.25925925925925924,94.2327342592479,-9144.822855348657
v16_equity_rebal,USDCAD,23,-56974.7856384263,0.3453450583028856,0.30434782608695654,72.27672750055036,-7083.029172356166
v16_equity_rebal,USDCHF,21,-86570.47996877629,0.12679518098309073,0.23809523809523808,102.77308035078634,-5247.280149904854
v16_equity_rebal,USDJPY,24,81602.39800159217,1.8592875552603778,0.5,39.68750000000169,-20475.92137191507
v16_equity_rebal_carry,AUDJPY,19,-56555.12025399653,0.5181999999544992,0.2631578947368421,71.97368421052626,14418.929181433292
v16_equity_rebal_carry,AUDUSD,16,-20351.01560099222,0.7242041430005952,0.3125,106.99794906249635,3878.7064094822786
v16_equity_rebal_carry,EURJPY,13,-974.061533699708,0.9747426143088963,0.5384615384615384,61.65384615383842,-2589.6331221348128
v16_equity_rebal_carry,EURUSD,17,-38343.231953749724,0.5967365826207792,0.35294117647058826,55.71858117649555,7618.365937746498
v16_equity_rebal_carry,GBPJPY,17,31054.960407851147,1.4749408943900622,0.4117647058823529,97.52941176469844,15513.424444263783
v16_equity_rebal_carry,GBPUSD,11,-10238.11326709922,0.7863870627474744,0.36363636363636365,49.292450227296335,-1337.87078334881
v16_equity_rebal_carry,NZDUSD,19,-128797.51766481914,0.07928231327074584,0.15789473684210525,114.42403828946243,729.6289212311442
v16_equity_rebal_carry,USDCAD,12,-24167.437142409446,0.3577643142316263,0.4166666666666667,67.61254551010609,-168.37336082191823
v16_equity_rebal_carry,USDCHF,19,-63924.47073067172,0.29530075247093174,0.3157894736842105,117.98382520972889,18389.282552465476
v16_equity_rebal_carry,USDJPY,20,-44110.99298106002,0.5654181947156066,0.35,29.975000000002137,8672.075059213013
