strategy,pair,params,train_n_trades,train_net_return,train_sharpe,train_profit_factor,train_max_drawdown,train_win_rate,train_cost_ratio,validation_n_trades,validation_net_return,validation_sharpe,validation_profit_factor,validation_max_drawdown,validation_win_rate,validation_cost_ratio
mr_zscore,EURJPY,"{""n"": 72, ""z"": 2.5}",285,-0.09146,-0.30907,0.877629,-0.144433,0.407018,,91,0.01209,0.145864,1.050179,-0.03713,0.43956,0.471786
mr_zscore,GBPUSD,"{""n"": 24, ""z"": 2.0}",1085,-0.212005,-0.579903,0.891471,-0.260074,0.529954,,359,-0.070955,-0.50804,0.89246,-0.119605,0.537604,
mr_zscore,GBPUSD,"{""n"": 24, ""z"": 2.5}",657,-0.203346,-0.710402,0.834572,-0.253771,0.508371,,214,-0.040217,-0.339214,0.901944,-0.105141,0.53271,
mr_zscore,GBPUSD,"{""n"": 72, ""z"": 2.0}",533,-0.170689,-0.469262,0.878747,-0.236215,0.427767,,173,-0.029569,-0.227137,0.927534,-0.069067,0.416185,124.539649
mr_zscore,GBPUSD,"{""n"": 72, ""z"": 2.5}",266,-0.183142,-0.730368,0.742511,-0.230429,0.387218,,102,-0.026717,-0.246983,0.909777,-0.060495,0.382353,
mr_zscore,AUDUSD,"{""n"": 24, ""z"": 2.0}",1077,-0.305689,-0.889242,0.82855,-0.325899,0.527391,,368,-0.214597,-1.719861,0.698203,-0.227805,0.505435,
mr_zscore,AUDUSD,"{""n"": 24, ""z"": 2.5}",574,-0.2521,-0.973511,0.750397,-0.273462,0.505226,,197,-0.134976,-1.409038,0.688881,-0.137927,0.467005,
mr_zscore,AUDUSD,"{""n"": 72, ""z"": 2.0}",549,-0.166356,-0.459966,0.878352,-0.226398,0.428051,,167,-0.133895,-1.145066,0.721674,-0.158655,0.377246,
mr_zscore,AUDUSD,"{""n"": 72, ""z"": 2.5}",278,-0.149818,-0.56095,0.810132,-0.191925,0.384892,,96,-0.072471,-0.72652,0.740263,-0.102621,0.364583,
regime_switch,USDJPY,"{""adx_trend"": 25, ""brk"": 24}",688,-0.015316,0.004758,1.000928,-0.20202,0.354651,0.795205,276,-0.231944,-1.33066,0.681858,-0.264535,0.293478,
regime_switch,USDJPY,"{""adx_trend"": 25, ""brk"": 48}",603,0.033609,0.091432,1.029652,-0.193237,0.369818,0.605606,253,-0.213561,-1.243206,0.67871,-0.239078,0.300395,
regime_switch,USDJPY,"{""adx_trend"": 30, ""brk"": 24}",596,-0.068133,-0.109577,0.972255,-0.26762,0.347315,1.225378,237,-0.197093,-1.18202,0.687099,-0.231586,0.303797,
regime_switch,USDJPY,"{""adx_trend"": 30, ""brk"": 48}",546,-0.007769,0.010841,1.008158,-0.235804,0.364469,0.755599,226,-0.178912,-1.066594,0.70117,-0.213996,0.309735,
regime_switch,EURUSD,"{""adx_trend"": 25, ""brk"": 24}",706,0.024736,0.074776,1.01266,-0.145576,0.36119,0.605794,231,-0.174013,-1.091552,0.709841,-0.21346,0.298701,
regime_switch,EURUSD,"{""adx_trend"": 25, ""brk"": 48}",627,0.054314,0.130927,1.031064,-0.119842,0.371611,0.495523,196,-0.141991,-0.981856,0.718894,-0.176152,0.316327,
regime_switch,EURUSD,"{""adx_trend"": 30, ""brk"": 24}",609,-0.002121,0.024313,0.998769,-0.165238,0.364532,0.763259,182,-0.112112,-0.794243,0.753594,-0.173168,0.32967,
regime_switch,EURUSD,"{""adx_trend"": 30, ""brk"": 48}",556,0.040578,0.108203,1.025848,-0.135308,0.377698,0.537262,166,-0.091084,-0.669973,0.786497,-0.148142,0.331325,
regime_switch,EURJPY,"{""adx_trend"": 25, ""brk"": 24}",712,-0.158624,-0.299289,0.906068,-0.20552,0.367978,,223,-0.153677,-1.013558,0.755193,-0.170032,0.331839,
regime_switch,EURJPY,"{""adx_trend"": 25, ""brk"": 48}",632,-0.176868,-0.377341,0.883844,-0.213204,0.363924,,199,-0.1565,-1.126852,0.724528,-0.173154,0.326633,
regime_switch,EURJPY,"{""adx_trend"": 30, ""brk"": 24}",610,-0.256264,-0.594363,0.824579,-0.293246,0.355738,,185,-0.150649,-1.110878,0.714436,-0.164491,0.313514,
regime_switch,EURJPY,"{""adx_trend"": 30, ""brk"": 48}",570,-0.256814,-0.652534,0.812027,-0.296727,0.359649,,171,-0.166378,-1.371769,0.661089,-0.177638,0.309942,
regime_switch,GBPUSD,"{""adx_trend"": 25, ""brk"": 24}",715,-0.256564,-0.566682,0.842173,-0.299002,0.344056,,257,-0.142469,-0.820533,0.764623,-0.19966,0.322957,
regime_switch,GBPUSD,"{""adx_trend"": 25, ""brk"": 48}",644,-0.247214,-0.573303,0.837509,-0.282593,0.326087,,236,-0.127921,-0.759368,0.763659,-0.197698,0.330508,
regime_switch,GBPUSD,"{""adx_trend"": 30, ""brk"": 24}",614,-0.18591,-0.407916,0.879265,-0.230274,0.351792,,220,-0.1688,-1.058794,0.681956,-0.227823,0.322727,
regime_switch,GBPUSD,"{""adx_trend"": 30, ""brk"": 48}",564,-0.150765,-0.336941,0.899468,-0.18389,0.349291,,210,-0.146685,-0.931842,0.708912,-0.209821,0.333333,
regime_switch,AUDUSD,"{""adx_trend"": 25, ""brk"": 24}",700,-0.359757,-0.834715,0.759084,-0.38533,0.331429,,253,-0.197961,-1.277806,0.703704,-0.206339,0.300395,
regime_switch,AUDUSD,"{""adx_trend"": 25, ""brk"": 48}",625,-0.362022,-0.902568,0.727529,-0.39592,0.3232,,226,-0.151359,-0.99319,0.749666,-0.201743,0.309735,
regime_switch,AUDUSD,"{""adx_trend"": 30, ""brk"": 24}",594,-0.286378,-0.668581,0.794233,-0.3154,0.319865,,217,-0.172227,-1.143231,0.714446,-0.203038,0.308756,
regime_switch,AUDUSD,"{""adx_trend"": 30, ""brk"": 48}",550,-0.319644,-0.806952,0.745504,-0.356383,0.321818,,205,-0.145941,-0.978712,0.746295,-0.193757,0.317073,
mtf_pullback,USDJPY,"{""rsi_th"": 35, ""tp_atr"": 2.0}",94,-0.028048,-0.192492,0.8805,-0.055155,0.468085,,31,-0.025019,-0.552385,0.710608,-0.046998,0.419355,
