candidate,year,params,train_sharpe
v2_d1_donchian,2014,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.505
v2_d1_donchian,2015,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.804
v2_d1_donchian,2016,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.72
v2_d1_donchian,2017,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.657
v2_d1_donchian,2018,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.584
v2_d1_donchian,2019,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.518
v2_d1_donchian,2020,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.4
v2_d1_donchian,2021,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.344
v2_d1_donchian,2022,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.301
v2_d1_donchian,2023,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.314
v2_d1_donchian,2024,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.247
v2_d1_donchian,2025,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.175
v2_d1_donchian,2026,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",0.134
v2_d1_tsmom,2014,"{""lookback"": 63, ""sizing"": ""fixed_notional""}",0.529
v2_d1_tsmom,2015,"{""lookback"": 63, ""sizing"": ""vol_target""}",0.701
v2_d1_tsmom,2016,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.552
v2_d1_tsmom,2017,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.647
v2_d1_tsmom,2018,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.6
v2_d1_tsmom,2019,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.485
v2_d1_tsmom,2020,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.397
v2_d1_tsmom,2021,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.298
v2_d1_tsmom,2022,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.293
v2_d1_tsmom,2023,"{""lookback"": 126, ""sizing"": ""risk_stop""}",0.391
v2_d1_tsmom,2024,"{""lookback"": 252, ""sizing"": ""vol_target""}",0.285
v2_d1_tsmom,2025,"{""lookback"": 252, ""sizing"": ""vol_target""}",0.23
v2_d1_tsmom,2026,"{""lookback"": 252, ""sizing"": ""vol_target""}",0.226
v2_h4_ema,2014,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.42
v2_h4_ema,2015,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.155
v2_h4_ema,2016,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.508
v2_h4_ema,2017,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.507
v2_h4_ema,2018,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.429
v2_h4_ema,2019,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.457
v2_h4_ema,2020,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.464
v2_h4_ema,2021,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.335
v2_h4_ema,2022,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.29
v2_h4_ema,2023,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.329
v2_h4_ema,2024,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.233
v2_h4_ema,2025,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.248
v2_h4_ema,2026,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",0.182
v2_trend_carry,2014,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",0.18
v2_trend_carry,2015,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",0.44
v2_trend_carry,2016,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",0.468
v2_trend_carry,2017,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",0.489
v2_trend_carry,2018,"{""mode"": ""composite"", ""sizing"": ""risk_stop""}",0.401
