spec_id,event,return,max_drawdown,trades,pnl_jpy
ml_lgbm_v1,EUR_debt_crisis_2011,0.0,0.0,0,0.0
ml_lgbm_v1,abenomics_2012_2013,0.0,0.0,0,0.0
ml_lgbm_v1,SNB_shock_2015,-0.0010457672849472077,-0.04725892650508545,115,-253.8673842235404
ml_lgbm_v1,brexit_vote_2016,0.06885120121685984,-0.044251154740288845,164,49802.04329375608
ml_lgbm_v1,covid_crash_2020,-0.025781179324755987,-0.08405497364892367,389,-7236.423554693023
ml_lgbm_v1,usd_jpy_surge_2022,-0.1969673002104072,-0.23963862732813745,1157,-33190.54975410625
ml_lgbm_v1,yen_carry_unwind_2024,-0.026489355362889322,-0.029497102769960315,121,-2670.6817801282364
ml_logit_v1,EUR_debt_crisis_2011,0.0,0.0,0,0.0
ml_logit_v1,abenomics_2012_2013,0.0,0.0,0,0.0
ml_logit_v1,SNB_shock_2015,-0.013232948238271258,-0.03072533343795858,20,-14095.939999393759
ml_logit_v1,brexit_vote_2016,-0.009536190099884712,-0.03789619051476645,69,-12518.164903129105
ml_logit_v1,covid_crash_2020,0.023565785727261535,-0.04141411258958283,97,23379.920713979784
ml_logit_v1,usd_jpy_surge_2022,0.06277295496168445,-0.02346960528333697,81,62486.55669693679
ml_logit_v1,yen_carry_unwind_2024,-0.09115313623484145,-0.10151240492816993,64,-99417.3144241556
mr_rsi_bb_v1,EUR_debt_crisis_2011,0.040514278359538025,-0.05330204617749146,136,38346.24526493566
mr_rsi_bb_v1,abenomics_2012_2013,-0.12981373574258326,-0.15890943697289983,145,-110725.6617072134
mr_rsi_bb_v1,SNB_shock_2015,0.013541566650011827,-0.01134000844876304,14,6808.151045447286
mr_rsi_bb_v1,brexit_vote_2016,-0.0026755074727663475,-0.023996891671725362,21,-7196.857191559164
mr_rsi_bb_v1,covid_crash_2020,0.030882666744116216,-0.027847408416376118,36,18776.50941313565
mr_rsi_bb_v1,usd_jpy_surge_2022,-0.05037590022408045,-0.08312838403080403,176,-17303.647961933253
mr_rsi_bb_v1,yen_carry_unwind_2024,-0.030259778816448812,-0.03316501150053819,33,-10391.225235485115
mr_zscore_v1,EUR_debt_crisis_2011,-0.04693950459083018,-0.06945336550903825,144,-35428.5340098758
mr_zscore_v1,abenomics_2012_2013,-0.09859204522324583,-0.16178360194314934,177,-74753.16001182013
mr_zscore_v1,SNB_shock_2015,-0.007708212085598132,-0.016057672934913003,14,-5161.690429622235
mr_zscore_v1,brexit_vote_2016,-0.006791202836724963,-0.026720398211803054,15,-2530.2940400398675
