strategy,family,pair,final_params,wf_trades,wf_net_return,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_positive_year_ratio,wf_max_single_year_share,wf_param_changes,train_sharpe,val_sharpe,val_profit_factor,val_trades,val_max_drawdown,wf_psr,wf_dsr,n_trials,gate_A,gate_A_fail
regime_switch,C_regime,USDJPY,"{""adx_trend"": 25, ""brk"": 48}",602,-0.329849,-0.048833,-0.827886,0.794208,-0.341853,0.125,1.0,3,0.091432,-1.243206,0.67871,253,-0.239078,0.010981,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,EURUSD,"{""adx_trend"": 25, ""brk"": 48}",534,-0.185998,-0.025413,-0.441638,0.871056,-0.291591,0.375,0.49680148030663496,4,0.130927,-0.981856,0.718894,196,-0.176152,0.112435,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,EURJPY,"{""adx_trend"": 25, ""brk"": 24}",592,-0.262411,-0.037356,-0.656054,0.827203,-0.296117,0.125,1.0,2,-0.299289,-1.013558,0.755193,223,-0.170032,0.032909,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,GBPUSD,"{""adx_trend"": 30, ""brk"": 48}",574,-0.223912,-0.03121,-0.554917,0.831757,-0.300343,0.375,0.5448383238080772,4,-0.336941,-0.931842,0.708912,210,-0.209821,0.061226,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
regime_switch,C_regime,AUDUSD,"{""adx_trend"": 30, ""brk"": 24}",574,-0.227114,-0.031711,-0.542697,0.849738,-0.273418,0.25,0.8899540051914933,2,-0.668581,-1.143231,0.714446,217,-0.203038,0.068071,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
mtf_pullback,D_mtf,USDJPY,"{""rsi_th"": 35, ""tp_atr"": 3.0}",122,-0.041744,-0.005319,-0.22494,0.902002,-0.086506,0.5,0.4835800765322125,2,0.069593,-1.282162,0.424349,31,-0.069722,0.264868,0.0001,190,False,wf_trades;wf_profit_factor;wf_sharpe;wf_positive_years;val_profit_factor
mtf_pullback,D_mtf,EURUSD,"{""rsi_th"": 35, ""tp_atr"": 3.0}",136,-0.114911,-0.015153,-0.665606,0.714149,-0.126668,0.375,0.543013395600344,3,-0.004782,-0.065318,0.95875,43,-0.029943,0.030506,0.0,190,False,wf_trades;wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
mtf_pullback,D_mtf,EURJPY,"{""rsi_th"": 40, ""tp_atr"": 3.0}",194,-0.126409,-0.016762,-0.590225,0.768862,-0.143319,0.375,0.47972960727813113,4,-0.377294,-0.072096,0.97104,109,-0.080918,0.04869,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;val_profit_factor
mtf_pullback,D_mtf,GBPUSD,"{""rsi_th"": 35, ""tp_atr"": 2.0}",189,-0.200434,-0.027592,-1.0584,0.640915,-0.207848,0.0,1.0,2,0.024063,-1.321382,0.477141,40,-0.071612,0.001326,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
mtf_pullback,D_mtf,AUDUSD,"{""rsi_th"": 40, ""tp_atr"": 3.0}",219,-0.081222,-0.01054,-0.327718,0.879282,-0.144574,0.25,0.6244824634040225,2,0.422574,-1.417858,0.59719,102,-0.144574,0.17912,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
ml_logit,F_ml,USDJPY,"{""horizon"": 12, ""th"": 0.6}",742,-0.016283,-0.002051,-0.027155,0.977376,-0.120769,0.625,0.5710278121988159,2,-0.187651,0.872086,3.445487,9,-0.009005,0.469419,0.0004,190,False,wf_profit_factor;wf_sharpe;wf_single_year_share
ml_logit,F_ml,EURUSD,"{""horizon"": 12, ""th"": 0.6}",638,-0.126064,-0.016714,-0.431244,0.886008,-0.171715,0.25,0.7858874000612865,2,0.038425,0.214736,1.140693,28,-0.015543,0.107066,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share
ml_logit,F_ml,EURJPY,"{""horizon"": 12, ""th"": 0.6}",516,0.004763,0.000595,0.034486,0.997517,-0.093986,0.75,0.38202930388560896,2,0.149811,1.200857,3.672491,18,-0.006806,0.538812,0.001,190,False,wf_profit_factor;wf_sharpe
ml_logit,F_ml,GBPUSD,"{""horizon"": 12, ""th"": 0.6}",352,-0.184427,-0.025178,-0.996029,0.716336,-0.1906,0.25,0.7007192132687509,2,-0.234127,-0.903461,0.440509,27,-0.046039,0.001117,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
ml_logit,F_ml,AUDUSD,"{""horizon"": 12, ""th"": 0.6}",1332,0.01495,0.001858,0.061219,0.996769,-0.19871,0.375,0.8085584555207357,2,0.245215,-0.395545,0.871642,130,-0.063624,0.568653,0.0014,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;val_profit_factor
ml_lgbm,F_ml,USDJPY,"{""horizon"": 12, ""th"": 0.6}",2204,-0.008113,-0.001018,0.021162,0.996195,-0.211386,0.5,0.5900429697025755,2,0.345044,-0.439642,0.933045,620,-0.162488,0.523837,0.0009,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
ml_lgbm,F_ml,EURUSD,"{""horizon"": 12, ""th"": 0.55}",3634,-0.636233,-0.118819,-1.433015,0.863946,-0.65089,0.0,1.0,2,-0.157112,-2.501301,0.782118,1755,-0.546443,1.8e-05,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
ml_lgbm,F_ml,EURJPY,"{""horizon"": 12, ""th"": 0.6}",2188,-0.109658,-0.014424,-0.177258,0.967093,-0.222015,0.25,0.6724009857211919,2,-0.248896,0.362065,1.065439,435,-0.082695,0.307689,0.0001,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown
ml_lgbm,F_ml,GBPUSD,"{""horizon"": 12, ""th"": 0.6}",1948,-0.288773,-0.041729,-0.623782,0.90832,-0.322736,0.25,0.6876781951159042,2,-0.224207,-0.868667,0.845707,489,-0.180366,0.037423,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
ml_lgbm,F_ml,AUDUSD,"{""horizon"": 12, ""th"": 0.55}",3881,-0.599317,-0.1081,-1.190998,0.898684,-0.60893,0.25,0.7104293124379207,2,-0.226682,-3.029861,0.728417,1723,-0.609668,0.00037,0.0,190,False,wf_profit_factor;wf_sharpe;wf_positive_years;wf_single_year_share;wf_max_drawdown;val_profit_factor
