spec_id,period,variant,cost_profile,halted_at,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,exposure_time,avg_leverage,max_leverage,psr_vs_zero,t_stat
regime_switch_v1,TEST,portfolio_stress_2x,stress_2x,2023-03-01 07:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.084515,-0.024979,-0.267777,-0.384356,-0.150109,0.077532,-84515.210281,-0.522685,382,0.916687,0.358639,6787.711698,-4140.537604,1.639331,-221.244006,-0.047559,10,109.431765,18.15445,125315.9803,-22579.257184,63380.027203,1.977216,328.052304,265.016674,0.209683,1.650229,4.816022,0.309171,-0.500964
regime_switch_v1,TEST,portfolio_ibkr,ibkr,2022-11-10 14:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.105438,-0.031415,-0.404914,-0.565936,-0.154173,0.06897,-105437.685685,-0.646636,261,0.853671,0.360153,6543.773901,-4314.685224,1.516628,-403.975807,-0.092913,10,74.768824,18.095785,170200.539615,-9499.13,74261.983931,2.291893,652.109347,191.125277,0.148967,1.659635,4.915967,0.226024,-0.757525
regime_switch_v1,TEST,USDJPY,retail_jp,,2022-01-02,2025-06-30,3.49,-0.035999,-0.010448,-0.116222,-0.181144,-0.129996,0.061647,-35998.97916,-0.251247,273,0.955118,0.347985,8064.064218,-4506.095954,1.78959,-131.864393,-0.025145,10,78.206471,20.593407,38272.5,2133.098439,140.422401,272.552667,140.192308,226.32,0.258008,1.326225,3.01084,0.414309,-0.217432
regime_switch_v1,TEST,EURUSD,retail_jp,,2022-01-02,2025-06-30,3.49,0.037074,0.010483,0.212026,0.332066,-0.093592,0.056585,37074.288837,0.369851,258,1.054194,0.368217,7591.282816,-4196.91766,1.808776,143.698794,0.03113,13,73.909412,21.527132,39757.625025,-12741.767666,89573.681528,0.443854,154.099322,247.423894,0.254888,1.576927,3.0031,0.654833,0.396665
regime_switch_v1,TEST,EURJPY,retail_jp,,2022-01-02,2025-06-30,3.49,-0.108328,-0.032312,-0.544175,-0.793619,-0.124748,0.057197,-108328.435133,-0.854457,273,0.847632,0.340659,6479.994676,-3949.821889,1.640579,-396.807455,-0.085711,14,78.206471,25.230769,45575.5,-5684.594151,-57068.340982,,166.943223,202.10071,0.316123,1.15559,2.952542,0.157217,-1.018059
regime_switch_v1,TEST,GBPUSD,retail_jp,,2022-01-02,2025-06-30,3.49,-0.050538,-0.014747,-0.285598,-0.416737,-0.070528,0.047876,-50538.154124,-0.70173,212,0.909155,0.377358,6322.153282,-4214.472853,1.500105,-238.387519,-0.052637,9,60.731765,20.811321,46332.855008,-10262.542412,6057.243295,7.649165,218.551203,192.112513,0.202497,1.474793,2.993883,0.297756,-0.534304
regime_switch_v1,TEST,AUDUSD,retail_jp,,2022-01-02,2025-06-30,3.49,-0.085127,-0.025165,-0.463167,-0.691705,-0.148553,0.051972,-85126.636937,-0.548866,256,0.877543,0.378906,6288.973174,-4372.056823,1.438447,-332.525926,-0.067463,7,73.336471,18.199219,74781.604948,-6530.204249,-3814.82774,,292.115644,174.514083,0.213823,1.103341,2.674149,0.196094,-0.866506
regime_switch_v1,FORWARD,portfolio,retail_jp,2026-02-23 09:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.137887,-0.113221,-1.267483,-1.705096,-0.150667,0.09204,-137887.387039,-0.901615,195,0.719521,0.297436,6098.731754,-3588.422108,1.699558,-707.114805,-0.157089,17,157.924058,25.610256,34701.690135,-7746.199054,-95439.49785,,177.957385,510.328298,0.389852,2.234082,5.011632,0.08359,-1.412722
regime_switch_v1,FORWARD,portfolio_stress_2x,stress_2x,2025-12-29 08:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.147555,-0.121283,-1.651123,-2.067477,-0.151231,0.076763,-147554.600002,-0.971484,152,0.629446,0.296053,5569.886099,-3721.490415,1.496682,-970.753947,-0.195088,12,123.099778,25.888158,62224.43352,-14521.931748,-70808.234733,,409.371273,407.649975,0.311416,2.245842,5.009805,0.032967,-1.840323
regime_switch_v1,FORWARD,portfolio_ibkr,ibkr,2025-09-30 04:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.149129,-0.122597,-2.059279,-2.381176,-0.152701,0.062432,-149128.70131,-0.972508,80,0.423277,0.225,6080.584847,-4170.632719,1.457953,-1864.108766,-0.505379,17,64.789357,25.075,59423.922877,-5406.253646,-84298.524787,,742.799036,217.364996,0.162827,2.195745,4.98327,0.005489,-2.295248
regime_switch_v1,FORWARD,USDJPY,retail_jp,2026-07-23 13:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.136064,-0.111703,-2.08147,-2.620456,-0.152828,0.054064,-136064.350516,-0.873034,89,0.481716,0.224719,6323.207528,-3804.760885,1.66192,-1528.812927,-0.390171,11,72.07816,18.224719,12026.5,-2226.376654,-121811.473862,,135.129213,282.365123,0.20994,1.622856,2.994022,0.009798,-2.319982
regime_switch_v1,FORWARD,EURUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.029082,-0.023618,-0.398228,-0.603648,-0.060659,0.056782,-29081.683978,-0.47171,93,0.880491,0.354839,6492.798003,-4055.733635,1.600894,-312.706279,-0.054213,8,75.317627,21.860215,15510.310635,-8367.496447,-5203.876896,,166.777534,296.504716,0.263137,1.871921,2.924281,0.330589,-0.44386
regime_switch_v1,FORWARD,EURJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.072799,-0.059378,-0.901408,-1.469577,-0.114041,0.070352,-72799.216646,-0.621091,97,0.754163,0.309278,7444.289809,-4419.819566,1.684297,-750.507388,-0.152383,7,78.557095,24.123711,22257.5,-4122.738103,-46418.978543,,229.458763,311.821303,0.302873,1.71786,2.977097,0.181345,-1.004699
regime_switch_v1,FORWARD,GBPUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.039885,-0.032426,-0.481844,-0.76724,-0.100918,0.056347,-39884.781242,-0.375675,73,0.82506,0.342466,7524.23934,-4749.807599,1.584115,-546.366866,-0.107171,8,59.120288,21.986301,19954.048913,-3842.638341,-16088.093989,,273.343136,219.962419,0.20774,1.636209,2.862019,0.300928,-0.537058
regime_switch_v1,FORWARD,AUDUSD,retail_jp,,2025-07-01,2026-09-25,1.23,0.007149,0.005786,0.132578,0.199814,-0.080651,0.054334,7148.846376,0.086029,89,1.032908,0.426966,5904.830669,-4259.504295,1.386272,80.324117,0.016986,17,72.07816,24.033708,32825.286238,-4383.705322,44357.837935,0.740011,368.823441,213.062925,0.276857,1.342632,2.433067,0.558798,0.14777
trend_donchian_v1,TEST,portfolio,retail_jp,2023-02-02 10:00:00+00:00,2022-01-02,2025-06-30,3.49,0.167506,0.045364,0.559378,0.828663,-0.150853,0.088614,167505.823805,0.807608,112,1.483656,0.339286,13522.069108,-4680.173004,2.889224,1495.587713,0.397637,15,32.084706,140.151786,12359.450378,-12083.705924,191948.980106,0.064389,110.352236,44.380626,0.295916,1.661068,3.849035,0.851806,1.046501
