candidate,spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
v14_term,v14_term,regime4h,HIGH_VOL,13,-52989.40912452321,0.23076923076923078,0.38188185935200625
v14_term,v14_term,regime4h,NEUTRAL,20,-42111.7522589904,0.3,0.5115469406700819
v14_term,v14_term,regime4h,RANGE,37,-61812.187174778104,0.32432432432432434,0.6093173276363072
v14_term,v14_term,regime4h,TREND,32,-3232.455849294136,0.34375,0.9786801514043242
v14_term,v14_term,month_dir,DOWN,21,39518.15471456804,0.42857142857142855,1.535756468709527
v14_term,v14_term,month_dir,FLAT,52,-187434.13591345708,0.25,0.2948588342999241
v14_term,v14_term,month_dir,UP,29,-12229.823208696822,0.3448275862068966,0.9139970433843319
v14_term,v14_term,month_vol,HIGH_VOL,35,-25334.03857270699,0.34285714285714286,0.834199496772701
v14_term,v14_term,month_vol,LOW_VOL,67,-134811.7658348789,0.29850746268656714,0.590208209624014
v14_term_ratemom,v14_term_ratemom,regime4h,HIGH_VOL,18,-23281.39967676913,0.2777777777777778,0.7888088999634023
v14_term_ratemom,v14_term_ratemom,regime4h,NEUTRAL,29,-3500.3729738936345,0.3793103448275862,0.973384804315633
v14_term_ratemom,v14_term_ratemom,regime4h,RANGE,49,-93878.74234568533,0.2857142857142857,0.6398281971494996
v14_term_ratemom,v14_term_ratemom,regime4h,TREND,76,-19739.897401308805,0.3684210526315789,0.939671212585121
v14_term_ratemom,v14_term_ratemom,month_dir,DOWN,25,29602.611026686616,0.4,1.2986098703845999
v14_term_ratemom,v14_term_ratemom,month_dir,FLAT,93,-125289.53499221188,0.34408602150537637,0.7207684189179465
v14_term_ratemom,v14_term_ratemom,month_dir,UP,54,-44713.48843213165,0.2962962962962963,0.8413193202079666
v14_term_ratemom,v14_term_ratemom,month_vol,HIGH_VOL,58,-175411.49829265376,0.25862068965517243,0.4006274664903647
v14_term_ratemom,v14_term_ratemom,month_vol,LOW_VOL,114,35011.085894996875,0.37719298245614036,1.0652032599414152
