candidate,year,return,trades,profit_factor,cost_jpy,swap_jpy
v10_carry_vix,2014,-0.0795310330404091,41,0.5292591204382818,3832.019508475181,9874.67431315377
v10_carry_vix,2015,-0.06505619899455073,39,0.3509861127251815,2412.5214220874523,4745.44396450362
v10_carry_vix,2016,0.012035760474375268,32,1.091756959862832,1619.951198569559,3848.4608892825418
v10_carry_vix,2017,-0.06353970086892025,46,0.7069478265978175,3977.6142802079294,1970.6716456516133
v10_carry_vix,2018,-0.04368508713698194,38,0.5186106987831084,4151.671512051622,1185.8707984184498
v10_carry_vix,2019,-0.048020154948217875,50,0.7344353523056294,5559.528323246474,8184.21427224748
v10_carry_vix,2020,0.006204901934611096,19,0.6384090550867877,1065.2335790507188,-135.77198271615478
v10_carry_vix,2021,0.04274378281710445,19,3.573618768283323,1553.815277885815,-1360.3768116888232
v10_carry_vix,2022,-0.05238605037127686,28,0.3240338133891764,3218.2663487940763,4516.620370068261
v10_carry_vix,2023,0.024019332115922554,31,2.003700448160252,3143.490629560355,18934.757772436027
v10_carry_vix,2024,0.06345031322364392,46,1.1295019022250659,3818.522838739991,7980.30306107417
v10_carry_vix,2025,0.05496765483626809,50,2.747077726790118,6509.667500001445,5062.105474053843
v10_carry_vix,2026,0.02692923342654341,51,1.225588448656063,9051.890237504853,3376.5805442785136
