candidate,year,params,train_sharpe
v12_carry_timed,2014,"{""lookback"": 63}",0.298
v12_carry_timed,2015,"{""lookback"": 63}",0.128
v12_carry_timed,2016,"{""lookback"": 126}",0.033
v12_carry_timed,2017,"{""lookback"": 63}",0.192
v12_carry_timed,2018,"{""lookback"": 63}",0.103
v12_carry_timed,2019,"{""lookback"": 63}",0.106
v12_carry_timed,2020,"{""lookback"": 126}",0.097
v12_carry_timed,2021,"{""lookback"": 126}",0.121
v12_carry_timed,2022,"{""lookback"": 126}",0.174
v12_carry_timed,2023,"{""lookback"": 126}",0.24
v12_carry_timed,2024,"{""lookback"": 126}",0.166
v12_carry_timed,2025,"{""lookback"": 126}",0.172
v12_carry_timed,2026,"{""lookback"": 126}",0.176
