spec_id,year,return,trades,pnl_jpy
ml_lgbm_v1,2010.0,0.0,,
ml_lgbm_v1,2011.0,0.0,,
ml_lgbm_v1,2012.0,0.0,,
ml_lgbm_v1,2013.0,0.0,,
ml_lgbm_v1,2014.0,-0.013475338520598457,1941.0,-9455.355140422484
ml_lgbm_v1,2015.0,-0.2633756245674761,1797.0,-265731.47311189043
ml_lgbm_v1,2016.0,0.17394982995828623,1643.0,126158.27151374056
ml_lgbm_v1,2017.0,-0.1793954110440833,1496.0,-148874.85954357503
ml_lgbm_v1,2018.0,-0.007942169444872138,1420.0,-6070.4890505516605
ml_lgbm_v1,2019.0,-0.48135016972321043,1394.0,-335957.15427332
ml_lgbm_v1,2020.0,-0.303320974574093,1600.0,-109617.77067596656
ml_lgbm_v1,2021.0,-0.3034298341456896,1517.0,-75507.04980360421
ml_lgbm_v1,2022.0,-0.223789217519908,1602.0,-39290.45630962047
ml_lgbm_v1,2023.0,-0.1341876079552341,1505.0,-17953.79529499918
ml_lgbm_v1,2024.0,-0.28103628331888,1238.0,-33144.848175937244
ml_lgbm_v1,2025.0,-0.11913305470367619,819.0,-9891.721459332011
ml_lgbm_v1,2026.0,-0.14933494230222688,471.0,-11374.668576582453
ml_logit_v1,2010.0,0.0,,
ml_logit_v1,2011.0,0.0,,
ml_logit_v1,2012.0,0.0,,
ml_logit_v1,2013.0,0.0,,
ml_logit_v1,2014.0,0.10997176713355472,308.0,109971.76713355529
ml_logit_v1,2015.0,-0.08338476666622308,259.0,-92554.73680852729
ml_logit_v1,2016.0,-0.03819064972752151,281.0,-38855.81743195823
ml_logit_v1,2017.0,0.001748643665765659,92.0,1711.1548664893062
ml_logit_v1,2018.0,0.026883843069974267,88.0,26353.488500680938
ml_logit_v1,2019.0,-0.01414870161117876,44.0,-14242.448874323341
ml_logit_v1,2020.0,-0.015785177855548338,155.0,-15664.948586482371
ml_logit_v1,2021.0,0.010149610862381087,9.0,9913.312278918816
ml_logit_v1,2022.0,0.05775068383881754,111.0,56978.659476878536
ml_logit_v1,2023.0,0.05935314685692039,140.0,61941.56314615842
ml_logit_v1,2024.0,-0.08215723465621494,188.0,-90829.09457117072
ml_logit_v1,2025.0,-0.02196254220233107,94.0,-22285.894495818913
ml_logit_v1,2026.0,-0.02521415704696539,82.0,-25023.46249407201
mr_rsi_bb_v1,2010.0,-0.02425465009403116,185.0,-25644.980834709175
mr_rsi_bb_v1,2011.0,0.00931398757509827,256.0,10478.410806163381
mr_rsi_bb_v1,2012.0,-0.1708646878748319,258.0,-168002.37168064152
