spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
ml_lgbm_v1,regime4h,HIGH_VOL,1410,-171254.24595826087,0.4879432624113475,0.869587211559363
ml_lgbm_v1,regime4h,NEUTRAL,3545,-286479.1384287715,0.48067700987306067,0.8990962620894262
ml_lgbm_v1,regime4h,RANGE,5775,-176354.80866619846,0.48484848484848486,0.9606942201057395
ml_lgbm_v1,regime4h,TREND,7713,-302623.1768488303,0.48852586542201476,0.9524857054617396
ml_lgbm_v1,month_dir,DOWN,4074,-405152.0140107986,0.468826705940108,0.8866801810050179
ml_lgbm_v1,month_dir,FLAT,10471,-370045.73630301224,0.49040206284022536,0.9563090133751249
ml_lgbm_v1,month_dir,UP,3898,-161513.61958825035,0.491277578245254,0.9454940902075957
ml_lgbm_v1,month_vol,HIGH_VOL,6293,-113704.18077259907,0.4975369458128079,0.9781060170142253
ml_lgbm_v1,month_vol,LOW_VOL,12150,-823007.1891294621,0.47975308641975306,0.9161458194382326
ml_logit_v1,regime4h,HIGH_VOL,507,69395.01371133432,0.5364891518737672,1.0821454169434217
ml_logit_v1,regime4h,NEUTRAL,223,-50036.332880298534,0.47533632286995514,0.8855742395978803
ml_logit_v1,regime4h,RANGE,236,60759.26763398823,0.5211864406779662,1.145739511042019
ml_logit_v1,regime4h,TREND,885,-112704.4063246955,0.49491525423728816,0.9367681313337037
ml_logit_v1,month_dir,DOWN,544,-178275.68092977576,0.4742647058823529,0.839064364020186
ml_logit_v1,month_dir,FLAT,787,110244.34490364879,0.5298602287166455,1.0800505163952565
ml_logit_v1,month_dir,UP,520,35444.87816645541,0.5076923076923077,1.035571630892331
ml_logit_v1,month_vol,HIGH_VOL,1097,-24116.744898732955,0.5186873290793071,0.9883580097519193
ml_logit_v1,month_vol,LOW_VOL,754,-8469.712960938654,0.4907161803713528,0.9939924104279385
mr_rsi_bb_v1,regime4h,HIGH_VOL,195,-34582.065231328466,0.5128205128205128,0.8501794179689947
mr_rsi_bb_v1,regime4h,NEUTRAL,801,-53895.153338718206,0.4818976279650437,0.9451181792291538
mr_rsi_bb_v1,regime4h,RANGE,1725,-253760.78919488678,0.4736231884057971,0.8864682816892984
mr_rsi_bb_v1,regime4h,TREND,1311,-326769.502089016,0.47292143401983217,0.8175772413569057
mr_rsi_bb_v1,regime4h,UNKNOWN,2,-9872.904328462158,0.0,0.0
mr_rsi_bb_v1,month_dir,DOWN,862,-321666.82493671693,0.4582366589327146,0.7341773321422769
mr_rsi_bb_v1,month_dir,FLAT,2201,-122155.04590920545,0.4943207632894139,0.9546552899775512
mr_rsi_bb_v1,month_dir,UP,971,-235058.54333648915,0.45314109165808447,0.8252542827763173
mr_rsi_bb_v1,month_vol,HIGH_VOL,1284,-296889.6569567693,0.45950155763239875,0.8223878644890459
mr_rsi_bb_v1,month_vol,LOW_VOL,2750,-381990.7572256422,0.48472727272727273,0.8932266586056185
mr_zscore_v1,regime4h,HIGH_VOL,419,-12765.496835152415,0.4439140811455847,0.9734631101865991
mr_zscore_v1,regime4h,NEUTRAL,889,-212055.82354873553,0.4296962879640045,0.8318304082832069
mr_zscore_v1,regime4h,RANGE,1045,-221761.43972305034,0.41626794258373206,0.8483663516622264
mr_zscore_v1,regime4h,TREND,2208,-178575.7901242138,0.4216485507246377,0.942914192867111
mr_zscore_v1,month_dir,DOWN,1153,-616357.3807467625,0.36079791847354725,0.6784651258190193
mr_zscore_v1,month_dir,FLAT,2409,386668.3095918167,0.4761311747613117,1.135317377106716
mr_zscore_v1,month_dir,UP,999,-395469.47907620616,0.3713713713713714,0.7462138280971481
mr_zscore_v1,month_vol,HIGH_VOL,1457,-192755.68189366147,0.4131777625257378,0.8970815803819967
mr_zscore_v1,month_vol,LOW_VOL,3104,-432402.8683374906,0.42912371134020616,0.903044221492231
mtf_pullback_v1,regime4h,HIGH_VOL,5,22682.420208131753,0.8,5.718426800563449
mtf_pullback_v1,regime4h,NEUTRAL,308,-92741.9204484252,0.37987012987012986,0.8851727847031736
mtf_pullback_v1,regime4h,RANGE,461,-119345.45129697828,0.3947939262472885,0.9002765696615485
mtf_pullback_v1,regime4h,TREND,832,-151289.4242673002,0.40625,0.9302488718295406
