bar,equity,cash,gross_notional,open_positions
2026-09-25 13:00:00+00:00,1000000.0,1000000.0,0,0
2026-09-25 14:00:00+00:00,1000000.0,1000000.0,0,0
2026-09-25 15:00:00+00:00,1000414.95,1000000.0,2866952.0,1
2026-09-25 16:00:00+00:00,1002359.64,1000000.0,2976044.34,2
2026-09-25 17:00:00+00:00,1002769.15,1000000.0,2976444.23,2
2026-09-25 18:00:00+00:00,1000589.25,1000000.0,2976419.93,2
2026-09-25 19:00:00+00:00,1001700.01,1000000.0,2977765.63,2
2026-09-25 20:00:00+00:00,1002459.37,1000000.0,2976733.27,2
