candidate,pair,trades,pnl_jpy,profit_factor,win_rate,avg_cost_jpy,swap_jpy
v10_carry_vix,AUDJPY,57,-33434.37839599,0.7394816005956261,0.45614035087719296,82.48245614035119,14177.293345310129
v10_carry_vix,AUDUSD,58,-18135.513922317445,0.847280799061332,0.4827586206896552,109.79059017241572,4250.46211681556
v10_carry_vix,EURJPY,25,24702.952514350174,1.8394323358662863,0.48,130.48000000000528,5990.509499616439
v10_carry_vix,EURUSD,68,5183.412236474256,1.0421548027027943,0.5588235294117647,48.326242500026744,7437.107157983753
v10_carry_vix,GBPJPY,40,5623.603538351948,1.0986749620317517,0.475,143.97500000000278,8973.158174596709
v10_carry_vix,GBPUSD,23,-8970.243652302921,0.7856064399160552,0.43478260869565216,79.14587293479954,107.21766860534737
v10_carry_vix,NZDUSD,60,-45916.01524731619,0.6797673853925561,0.4,135.4385650416606,7470.896380577956
v10_carry_vix,USDCAD,53,-7343.302601995655,0.9335246735515702,0.49056603773584906,131.5061096357779,-212.84704284931524
v10_carry_vix,USDCHF,60,-17614.920206277675,0.8558248036600331,0.5666666666666667,126.54435242461297,9452.703732066871
v10_carry_vix,USDJPY,46,-560.1592767502824,0.9924353154167304,0.5217391304347826,44.0978260869619,10537.053278039863
