candidate,spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
v8_dollar_carry,v8_dollar_carry,regime4h,HIGH_VOL,10,34130.253054557536,0.4,2.379922993364092
v8_dollar_carry,v8_dollar_carry,regime4h,NEUTRAL,9,-14868.08271743368,0.1111111111111111,0.49910188140534645
v8_dollar_carry,v8_dollar_carry,regime4h,RANGE,10,-4461.709302387435,0.3,0.8491030496257014
v8_dollar_carry,v8_dollar_carry,regime4h,TREND,15,76554.06218622511,0.3333333333333333,3.014028719617356
v8_dollar_carry,v8_dollar_carry,month_dir,DOWN,10,11296.815487045984,0.3,1.5006893360504538
v8_dollar_carry,v8_dollar_carry,month_dir,FLAT,23,34935.670591098955,0.34782608695652173,1.521227405627609
v8_dollar_carry,v8_dollar_carry,month_dir,UP,11,45122.037142816596,0.18181818181818182,2.39238339164897
v8_dollar_carry,v8_dollar_carry,month_vol,HIGH_VOL,20,-15942.89425226643,0.25,0.7334393217936881
v8_dollar_carry,v8_dollar_carry,month_vol,LOW_VOL,24,107297.41747322796,0.3333333333333333,2.7254548312983524
v8_dollar_carry_trend,v8_dollar_carry_trend,regime4h,HIGH_VOL,4,-2655.2036591281785,0.25,0.7751583209839339
v8_dollar_carry_trend,v8_dollar_carry_trend,regime4h,NEUTRAL,39,-55585.217633110624,0.38461538461538464,0.38239022414791995
v8_dollar_carry_trend,v8_dollar_carry_trend,regime4h,RANGE,34,37552.65771944127,0.4411764705882353,1.6307740533375124
v8_dollar_carry_trend,v8_dollar_carry_trend,regime4h,TREND,45,-51168.92057898072,0.35555555555555557,0.4473980556967533
v8_dollar_carry_trend,v8_dollar_carry_trend,month_dir,DOWN,24,-8665.652390864923,0.375,0.8294657330528147
v8_dollar_carry_trend,v8_dollar_carry_trend,month_dir,FLAT,77,-68487.6315040393,0.35064935064935066,0.5852446995635832
v8_dollar_carry_trend,v8_dollar_carry_trend,month_dir,UP,21,5296.599743125964,0.5238095238095238,1.1393921917989585
v8_dollar_carry_trend,v8_dollar_carry_trend,month_vol,HIGH_VOL,24,-18410.765290774518,0.4166666666666667,0.6327179273972555
v8_dollar_carry_trend,v8_dollar_carry_trend,month_vol,LOW_VOL,98,-53445.91886100373,0.37755102040816324,0.7377702195511961
