candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v3_carry_trend_xs,True,trend_carry,2014-01-02,2026-09-25,12.73,0.499781,0.032356,0.499555,0.727938,-0.133358,0.071594,499780.890093,2.450189,179,1.85666,0.402235,18121.521184,-6567.66395,2.759203,3363.181467,0.194948,9,14.063186,1207.620112,16647.724755,7203.450903,611453.756513,0.027226,93.004049,8.371386,0.962642,1.781615,0.6923076923076923,0.30188570755912636,0.2942086908204915,0.1588400701764443,5,0.6127741985884873,1.643727,0.344067,0.7028,13,"{""sizing"": ""risk_stop"", ""top_k"": 4}",3,0.6825021248797883,1.2430860017851881,-146340.07817699888,0.7917578773058555,0.011965676805496334,0.06745407008865345,top5_trade_dependence;top1_trade_dependence,REJECTED
v3_carry_trend_mh,True,trend_carry,2014-01-02,2026-09-25,12.73,0.157957,0.011589,0.367386,0.501406,-0.086675,0.033909,157956.862349,1.531603,202,1.944129,0.386139,5389.470764,-1743.789029,3.090667,1010.63802,0.189482,10,15.870187,1113.376238,5591.046978,55818.355206,153921.571792,0.036324,27.67845,4.020767,0.90325,1.310247,0.6923076923076923,0.23181075732570425,0.0022622434813486247,0.15534319473819425,5,0.4156464309147196,1.239741,0.026249,0.5368,13,"{""threshold"": 0.5, ""trail"": ""none""}",3,0.5984883801400472,1.0980590860537849,-20018.652593727864,0.9074195650514035,0.2734198453640716,0.0735257453786684,sharpe;top5_trade_dependence;top1_trade_dependence,REJECTED
v3_carry_trend_7p,True,trend_carry,2014-01-02,2026-09-25,12.73,0.281028,0.019648,0.52577,0.7287,-0.082939,0.038958,281028.440676,2.605054,128,2.856133,0.40625,9214.601292,-2207.434482,4.174349,2432.767551,0.512535,7,10.056356,2082.0,4134.36582,61395.170201,254133.442176,0.016268,32.299733,2.484381,0.968399,1.875108,0.8461538461538461,0.2445564258959755,0.07954016901426142,0.18664268125024264,7,0.5336866291902899,1.897742,0.15497,0.7473,13,"{""sizing"": ""risk_stop""}",1,0.3923666986850026,0.9250773180949549,23330.492081829376,1.1390664871373652,0.1971621854912301,0.09058030384621873,top1_trade_dependence,REJECTED
v3_carry_only,True,carry,2014-01-02,2026-09-25,12.73,0.46365,0.03038,0.392333,0.546273,-0.187934,0.085752,463649.617396,1.599452,28,5.317916,0.285714,78386.270487,-5896.014473,13.294789,18184.638373,0.700013,14,2.199828,7562.678571,1251.562915,179571.002385,330850.434969,0.003783,44.698676,0.992847,0.917915,1.399217,0.6153846153846154,0.3640571260541615,-0.045131383105478484,0.5328282776289344,6,0.8765365787889562,3.665066,0.294984,0.5863,13,"{""sizing"": ""vol_target""}",2,0.6103423149704251,1.1861946820909721,-94804.72290148275,0.19602705064248893,0.3526740512350384,0.2625112319710132,trades;sharpe;subperiod_not_positive;single_regime_dependence;top5_trade_dependence;top1_trade_dependence,REJECTED
