candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 2}",153,0.104444,0.342405,1.655388,-0.059499,0.056995,107,-0.007413,-0.048964,1.435376,-0.059499,0.059948,19,0.074541,0.710755,2.463642,-0.042451,0.073883
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 2}",191,0.593728,0.415637,1.627008,-0.241933,0.062266,127,0.020284,0.071553,1.329128,-0.241933,0.076666,28,0.336391,0.885236,2.798616,-0.125731,0.056606
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 3}",216,0.252801,0.561709,2.056325,-0.059958,0.034545,131,0.053351,0.285201,1.731752,-0.059958,0.037251,39,0.122047,0.867914,3.148054,-0.048766,0.037657
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 3}",257,1.360269,0.541724,1.771574,-0.250639,0.048115,144,0.224499,0.284999,1.339203,-0.250639,0.068261,48,0.459994,0.806536,2.760331,-0.191046,0.042088
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 4}",233,0.352811,0.588695,2.212204,-0.06287,0.026113,149,0.100263,0.413024,2.011567,-0.060292,0.028226,33,0.16521,0.856831,3.751811,-0.06287,0.018867
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 4}",264,1.812915,0.546064,1.833817,-0.25854,0.03527,166,0.362119,0.35803,1.606725,-0.25854,0.038263,34,0.607982,0.820637,2.432229,-0.220962,0.033661
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""none""}",147,0.291092,0.457812,2.483623,-0.087799,0.019277,86,0.051616,0.242315,3.230805,-0.04627,0.014083,22,0.16204,0.686703,1.911779,-0.087799,0.075592
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""atr3""}",507,0.042058,0.13083,1.081853,-0.071117,0.291472,273,0.02591,0.159266,1.13289,-0.051502,0.13916,123,-0.02373,-0.280119,0.845403,-0.063378,
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""none""}",161,0.090503,0.22375,1.477473,-0.079762,0.090989,93,0.015007,0.101404,1.348592,-0.042425,0.077554,27,0.039246,0.265841,1.901326,-0.079762,0.164068
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""atr3""}",343,-0.01351,-0.040926,0.959735,-0.06959,,180,-0.03291,-0.263566,0.845082,-0.058372,,76,-0.020189,-0.302245,0.77285,-0.036803,
v3_carry_trend_7p,True,"{""sizing"": ""risk_stop""}",188,0.321111,0.464215,2.187172,-0.088796,0.021864,99,0.084348,0.354602,3.07626,-0.03985,0.012948,29,0.193788,0.746687,2.385993,-0.088796,0.033425
v3_carry_only,True,"{""sizing"": ""risk_stop""}",37,0.0778,0.203649,1.738519,-0.107946,0.064907,23,-0.045586,-0.280152,0.789823,-0.094746,,7,0.124841,0.803027,11.760351,-0.0452,0.002018
v3_carry_only,True,"{""sizing"": ""vol_target""}",32,0.360072,0.253,2.180361,-0.303028,0.022433,18,-0.14973,-0.239045,0.87753,-0.271549,,6,0.545892,0.827983,15.592735,-0.199603,0.001359
