candidate,year,return,trades,profit_factor,cost_jpy,swap_jpy
v11_intraday_region,2014,-0.06720212569798878,3663,0.928290502774764,69221.44110799869,0.0
v11_intraday_region,2015,-0.016514520392181042,2493,0.9742000380344641,40710.881657655744,0.0
v11_intraday_region,2016,-0.0316549505125483,3080,0.9600741784103105,44260.50769712051,0.0
v11_intraday_region,2017,-0.05129172933093307,3615,0.9412392048579654,57327.65299867411,0.0
v11_intraday_region,2018,-0.10990754603164266,3654,0.8816029242585106,53735.20337828034,0.0
v11_intraday_region,2019,-0.17429455696025575,3281,0.7785342259144467,52874.71803802719,0.0
v11_intraday_region,2020,-0.1356212805420075,2189,0.7951970469310885,30786.204735767322,0.0
v11_intraday_region,2021,-0.06127923069844232,2735,0.9050606352402812,34608.01826015883,0.0
v11_intraday_region,2022,-0.006213774961963958,379,0.960910080304831,5887.50653956156,0.0
v11_intraday_region,2023,0.00210351793675434,44,1.1954572187695203,1061.9887224993654,0.0
v11_intraday_region,2024,-0.008656587900898072,369,0.9295255391286295,8219.209467497989,0.0
v11_intraday_region,2025,-0.016590974496038857,503,0.8959228189813131,11285.798869997305,0.0
v11_intraday_region,2026,-0.03669445181231146,236,0.6132725289435036,4905.049099999908,0.0
