candidate,year,return,trades,profit_factor,cost_jpy,swap_jpy
v13_ratemom,2014,-0.004817869822808518,8,2.882561898207291,544.7742075402664,3257.692665797155
v13_ratemom,2015,0.059567902257558814,11,0.7915578280503206,943.6560638862846,-9087.22189119305
v13_ratemom,2016,-0.06952919524018386,18,0.25942695231910634,934.8810827551848,-12308.88590127312
v13_ratemom,2017,-0.11016637013868058,7,0.45955550204905177,399.3811415923854,-462.90102355169313
v13_ratemom,2018,0.09473394331099372,7,4.492288318789332,391.00534219212193,11913.832456619642
v13_ratemom,2019,0.02729269426853409,7,0.5984187818446782,724.9528880802119,-32828.26669509654
v13_ratemom,2020,-0.008947785958417942,10,1.9340486343898977,428.15754831923385,-11975.25125666273
v13_ratemom,2021,-0.03485055095223144,17,0.632228273502319,1649.7403868642855,-5309.17456495052
v13_ratemom,2022,-0.004871006402693667,11,2.9792695542739582,946.9583473608645,23512.32753137856
v13_ratemom,2023,0.022403369156478226,10,0.35207328858129944,760.8553104480783,-6540.3854951809535
v13_ratemom,2024,-0.01243402402248639,21,0.44995535173684376,2643.8075271419248,-10634.499060976716
v13_ratemom,2025,-0.09018815758897802,13,0.15442626254580327,953.6974974999208,-18152.881225857254
v13_ratemom,2026,-0.021076295159447533,11,0.8493760412994414,868.084695378908,-15105.579477582787
v13_carry_ratemom,2014,-0.017767459616374826,4,0.32105126986836313,322.3244749999725,3070.0498639653133
v13_carry_ratemom,2015,-0.03521067855082105,5,0.32320238911830673,412.7019710098141,2854.757896618823
v13_carry_ratemom,2016,-0.04277394490087216,18,0.14352701529636067,934.6447583117302,1494.5730020617284
v13_carry_ratemom,2017,-0.12528762795460469,8,0.08596229449538612,641.9347117086583,916.3903020551577
v13_carry_ratemom,2018,0.029201645042132407,10,4.1308702801343395,548.2066163770256,16450.13247674841
v13_carry_ratemom,2019,-0.010647432820701908,6,0.0,828.4297207051591,-2310.8610153544955
v13_carry_ratemom,2020,0.047609659822988704,9,4.328875920776138,683.2508830757953,-3340.2948453893046
v13_carry_ratemom,2021,-0.004451725096964676,11,0.7314261659614109,1397.3982605310212,-3633.9393138379355
v13_carry_ratemom,2022,-0.044723115173251005,10,1.8360538758325307,782.153051324063,29347.797774523828
v13_carry_ratemom,2023,0.03714615284805434,4,0.5590064441969632,792.5581483723436,952.4061305251951
v13_carry_ratemom,2024,0.06624023394027212,9,1.7220217789728887,1491.8983902618281,9222.37974862214
v13_carry_ratemom,2025,-0.019398548433684826,7,0.19477559465949779,636.9644672432125,5334.266981804176
v13_carry_ratemom,2026,-0.0057599097280119915,3,1.1872552013394733,226.7621739513193,223.03369147735003
