candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 2}",153,0.104444,0.342405,1.655388,-0.059499,0.056995,107,-0.007413,-0.048964,1.435376,-0.059499,0.059948,19,0.074541,0.710755,2.463642,-0.042451,0.073883
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 2}",191,0.594028,0.415793,1.627524,-0.241933,0.062228,127,0.020284,0.071553,1.329128,-0.241933,0.076666,28,0.336643,0.885831,2.804893,-0.125731,0.056495
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 3}",216,0.252809,0.561725,2.05669,-0.059958,0.03455,131,0.053351,0.285201,1.731752,-0.059958,0.037251,39,0.122055,0.867968,3.152129,-0.048766,0.037678
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 3}",257,1.360069,0.541673,1.771657,-0.250639,0.048134,144,0.224499,0.284999,1.339203,-0.250639,0.068261,48,0.459871,0.806347,2.761844,-0.191046,0.042133
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 4}",233,0.352819,0.588706,2.212232,-0.06287,0.026117,149,0.100263,0.413024,2.011567,-0.060292,0.028226,33,0.165217,0.856866,3.751983,-0.06287,0.018884
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 4}",264,1.812686,0.546025,1.833712,-0.25854,0.035284,166,0.362119,0.35803,1.606725,-0.25854,0.038263,34,0.607851,0.820497,2.431786,-0.220962,0.033711
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""none""}",147,0.290956,0.457622,2.481994,-0.087799,0.019313,86,0.051616,0.242315,3.230367,-0.04627,0.014103,22,0.161918,0.686202,1.90724,-0.087799,0.076259
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""atr3""}",507,0.042039,0.130777,1.081816,-0.071117,0.291602,273,0.02591,0.159266,1.13289,-0.051502,0.13916,123,-0.023748,-0.280328,0.845275,-0.063378,
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""none""}",161,0.090511,0.223768,1.477515,-0.079762,0.091,93,0.015007,0.101404,1.348592,-0.042425,0.077554,27,0.039253,0.265893,1.901495,-0.079762,0.16406
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""atr3""}",343,-0.01351,-0.040926,0.959735,-0.06959,,180,-0.03291,-0.263566,0.845082,-0.058372,,76,-0.020189,-0.302245,0.77285,-0.036803,
v3_carry_trend_7p,True,"{""sizing"": ""risk_stop""}",188,0.321061,0.464152,2.186988,-0.088796,0.021886,99,0.084348,0.354602,3.07591,-0.03985,0.012965,29,0.193743,0.746521,2.385814,-0.088796,0.03347
v3_carry_only,True,"{""sizing"": ""risk_stop""}",37,0.077793,0.203631,1.738449,-0.107946,0.065084,23,-0.045586,-0.280152,0.789619,-0.094746,,7,0.124833,0.802976,11.761125,-0.0452,0.002037
v3_carry_only,True,"{""sizing"": ""vol_target""}",32,0.360231,0.253082,2.180884,-0.303028,0.022465,18,-0.14973,-0.239045,0.877225,-0.271549,,6,0.546073,0.828207,15.59995,-0.199603,0.001373
