candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
trend_donchian,False,"{""n"": 48, ""sl_atr"": 5.0}",6270,-0.580266,-0.450216,0.900249,-0.605514,,2963,-0.147494,-0.142484,0.963743,-0.302927,1.173366,1730,-0.2264,-0.467228,0.90168,-0.356791,
trend_donchian,False,"{""n"": 120, ""sl_atr"": 3.0}",3422,-0.549647,-0.245122,0.930604,-0.6616,12.781919,1642,-0.349165,-0.293488,0.908884,-0.4268,,950,-0.384601,-0.621814,0.822509,-0.525772,
trend_donchian,False,"{""n"": 120, ""sl_atr"": 5.0}",3072,-0.529653,-0.363354,0.893806,-0.579695,,1471,-0.322105,-0.399738,0.887946,-0.360404,,855,-0.22455,-0.420999,0.870203,-0.414255,
trend_donchian,False,"{""n"": 240, ""sl_atr"": 3.0}",2090,-0.480306,-0.19245,0.914101,-0.628296,,980,-0.407724,-0.404896,0.853237,-0.541852,,600,-0.212703,-0.252828,0.876374,-0.392422,
trend_donchian,False,"{""n"": 240, ""sl_atr"": 5.0}",1809,-0.455948,-0.289387,0.884959,-0.560833,,868,-0.388309,-0.551701,0.816721,-0.489063,,511,-0.155063,-0.259185,0.879404,-0.33341,
trend_tsmom,False,"{""lookback"": 120, ""z_min"": 0.5}",1725,-0.340969,-0.275295,0.903307,-0.472925,,842,-0.344255,-0.624136,0.829953,-0.4681,,473,0.000471,0.063362,0.999859,-0.147477,0.544594
trend_tsmom,False,"{""lookback"": 120, ""z_min"": 1.0}",1044,-0.14086,-0.109977,0.943088,-0.350597,6.086872,508,-0.209372,-0.438515,0.850474,-0.347046,,275,0.059138,0.250136,1.091615,-0.114236,0.19616
trend_tsmom,False,"{""lookback"": 480, ""z_min"": 0.5}",1419,-0.077212,-0.030414,0.97916,-0.227063,0.73005,653,-0.071452,-0.094297,0.974148,-0.195923,0.647367,422,-0.037897,-0.052206,0.960661,-0.167001,
trend_tsmom,False,"{""lookback"": 480, ""z_min"": 1.0}",789,-0.260803,-0.303767,0.866213,-0.349677,,350,-0.098946,-0.207415,0.89816,-0.245524,,239,-0.161742,-0.662726,0.733542,-0.201702,
mr_rsi_bb,False,"{""bb_k"": 2.0, ""rsi_lo"": 25}",1344,-0.549552,-1.131153,0.717047,-0.558451,,626,-0.306524,-1.103269,0.728254,-0.307584,,420,-0.142673,-0.731636,0.818873,-0.148392,
mr_rsi_bb,False,"{""bb_k"": 2.5, ""rsi_lo"": 25}",1163,-0.544179,-1.18379,0.687074,-0.552691,,555,-0.313039,-1.194883,0.693025,-0.314075,,356,-0.135831,-0.741645,0.803793,-0.138637,
mr_rsi_bb,False,"{""bb_k"": 2.0, ""rsi_lo"": 30}",4376,-0.741064,-1.095471,0.847218,-0.747158,,2073,-0.355851,-0.739184,0.89495,-0.395477,,1274,-0.36777,-1.389597,0.814402,-0.387488,
mr_rsi_bb,False,"{""bb_k"": 2.5, ""rsi_lo"": 30}",3457,-0.602225,-0.813374,0.872026,-0.634548,,1676,-0.271929,-0.584079,0.901264,-0.30212,,978,-0.288759,-1.118624,0.82803,-0.303544,
mr_zscore,False,"{""n"": 24, ""z"": 2.0}",6603,-0.918655,-1.916967,0.783353,-0.919673,,3894,-0.744392,-2.116109,0.798474,-0.767086,,459,-0.164426,-0.959063,0.797934,-0.176306,
mr_zscore,False,"{""n"": 24, ""z"": 2.5}",4727,-0.880272,-1.817641,0.744926,-0.882238,,2530,-0.60643,-1.629892,0.781633,-0.624614,,890,-0.350819,-1.722942,0.723943,-0.357603,
mr_zscore,False,"{""n"": 72, ""z"": 2.0}",4532,-0.558224,-0.491104,0.908986,-0.654749,,2137,-0.392913,-0.673857,0.901068,-0.445084,,1231,0.130079,0.314497,1.042149,-0.151144,0.486538
mr_zscore,False,"{""n"": 72, ""z"": 2.5}",2478,-0.566183,-0.684088,0.851078,-0.615057,,1197,-0.397515,-0.866508,0.83476,-0.436728,,689,-0.023237,-0.068734,0.979123,-0.127323,1.091427
regime_switch,False,"{""adx_trend"": 25, ""brk"": 24}",6050,-0.803414,-0.833065,0.88525,-0.823295,,2905,-0.535685,-0.82096,0.903292,-0.616797,,1668,-0.295686,-0.687488,0.907424,-0.38165,
regime_switch,False,"{""adx_trend"": 25, ""brk"": 48}",5404,-0.793898,-0.862456,0.881445,-0.809462,,2589,-0.533422,-0.865707,0.887383,-0.587558,,1497,-0.349463,-0.907459,0.876364,-0.401618,
regime_switch,False,"{""adx_trend"": 30, ""brk"": 24}",5179,-0.809667,-0.917718,0.882002,-0.828915,,2471,-0.561138,-0.953814,0.878367,-0.626609,,1432,-0.392739,-1.107733,0.853799,-0.43794,
regime_switch,False,"{""adx_trend"": 30, ""brk"": 48}",4842,-0.757177,-0.809233,0.886517,-0.777219,,2320,-0.537321,-0.932968,0.872999,-0.582004,,1352,-0.291645,-0.748484,0.892201,-0.351408,
mtf_pullback,False,"{""rsi_th"": 35, ""tp_atr"": 2.0}",908,-0.241548,-0.460255,0.875959,-0.340808,,405,-0.261601,-1.159468,0.708535,-0.270758,,259,-0.037477,-0.212042,0.933314,-0.100934,5.54982
mtf_pullback,False,"{""rsi_th"": 35, ""tp_atr"": 3.0}",905,-0.354952,-0.605872,0.835709,-0.441105,,407,-0.326709,-1.273051,0.676153,-0.328635,,257,-0.081098,-0.402972,0.876192,-0.159695,
mtf_pullback,False,"{""rsi_th"": 40, ""tp_atr"": 2.0}",2548,-0.666524,-1.152496,0.818634,-0.679231,,1222,-0.421495,-1.208858,0.813591,-0.43137,,689,-0.254334,-1.173339,0.803711,-0.259523,
mtf_pullback,False,"{""rsi_th"": 40, ""tp_atr"": 3.0}",2465,-0.592094,-0.781221,0.869224,-0.612722,,1183,-0.328308,-0.723048,0.879747,-0.341492,,664,-0.247699,-0.944712,0.833808,-0.264838,
ml_logit,False,"{""horizon"": 12, ""th"": 0.55}",13852,-0.829111,-1.006252,0.913886,-0.830645,8.480561,9119,-0.796781,-1.588066,0.904969,-0.797768,43.976281,4733,-0.159014,-0.301684,0.974044,-0.24036,1.379816
ml_logit,False,"{""horizon"": 12, ""th"": 0.6}",1851,-0.006704,0.011948,0.998009,-0.159788,0.983149,1237,0.011437,0.053311,1.005049,-0.14169,0.875483,614,-0.017935,-0.062264,0.983527,-0.152627,1.367436
ml_lgbm,False,"{""horizon"": 12, ""th"": 0.55}",20241,-0.945751,-1.573515,0.923137,-0.948101,3.747197,18394,-0.902271,-1.947768,0.925069,-0.909565,3.565129,1847,-0.444576,-1.682687,0.834438,-0.460078,
ml_lgbm,False,"{""horizon"": 12, ""th"": 0.6}",12831,-0.645592,-0.575335,0.953462,-0.691539,1.659173,7972,-0.490822,-0.675767,0.953208,-0.584909,1.664753,4859,-0.303895,-0.614508,0.95425,-0.371873,1.643206
