candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v7_ccv_monthly,True,"{""threshold"": 0.5}",201,0.188872,0.175406,1.197379,-0.198949,0.089654,93,-0.08707,-0.1249,1.001273,-0.198949,0.152148,50,0.100185,0.287352,1.047561,-0.168163,
v7_ccv_monthly,True,"{""threshold"": 1.0}",98,0.122517,0.173857,1.297702,-0.19227,0.094582,41,-0.077154,-0.279592,0.624679,-0.181325,,32,0.07394,0.271687,1.485027,-0.11958,0.254623
v7_cm_monthly,True,"{""threshold"": 0.5}",205,0.057072,0.082061,1.06167,-0.317381,,114,-0.165563,-0.209906,1.185399,-0.317381,0.126951,44,0.347365,0.629069,1.28949,-0.18377,0.522826
v7_cm_monthly,True,"{""threshold"": 1.0}",166,0.408569,0.300783,1.47148,-0.207798,0.070251,81,-0.011152,0.017555,1.353018,-0.207798,0.051548,42,0.236648,0.526741,1.615123,-0.165397,0.201585
v7_carry_monthly,True,"{""threshold"": 0.5}",74,0.017205,0.04892,1.040998,-0.200428,,32,-0.089544,-0.164851,0.99637,-0.183357,,22,0.077953,0.219243,1.735705,-0.15824,0.068936
v7_carry_monthly,True,"{""threshold"": 1.0}",58,0.067135,0.09356,1.205946,-0.202771,,31,-0.137015,-0.288163,0.805775,-0.191495,,21,0.146102,0.392857,2.105389,-0.13412,0.038019
