candidate,year,return,trades,profit_factor,cost_jpy,swap_jpy
v7_ccv_monthly,2014,-0.010119209601337498,1,0.0,89.91544000003886,-258.82728003959886
v7_ccv_monthly,2015,-0.13178556679072317,17,0.5482940408704653,1012.3100959053197,-6271.952239675619
v7_ccv_monthly,2016,0.03454351134530831,6,2.79332643853028,534.1992473980879,-5308.052077826932
v7_ccv_monthly,2017,-0.048646574126424036,8,0.020915949917764746,596.0650804612796,-2674.057213187991
v7_ccv_monthly,2018,-0.054917448415997216,13,0.3756684014318093,1104.5458250675108,-2921.2138101466544
v7_ccv_monthly,2019,-0.004274218132121921,13,0.15790588074587222,847.4237476385052,4865.695726353725
v7_ccv_monthly,2020,-0.027132425775904023,14,2.83399367009419,1601.282427381939,-9473.593803246866
v7_ccv_monthly,2021,0.009830588301954712,9,1.8645345248552279,939.1247922571283,-731.3070045495476
v7_ccv_monthly,2022,0.04435648817064086,12,1.7640035006159995,1093.1006409994473,23606.46047880319
v7_ccv_monthly,2023,0.033012474156097316,7,0.39170546471504075,520.767350000158,5522.295505350551
v7_ccv_monthly,2024,-0.01810519066609717,13,0.3288282557095511,1578.3010025374344,10142.686546714674
v7_ccv_monthly,2025,0.014377116011994318,12,2.8285425910966304,1423.3036323661079,11884.323179784893
v7_ccv_monthly,2026,-0.000828671635119349,5,0.2668765340317082,727.8465098242107,-334.623598425649
v7_cm_monthly,2014,0.12902582103875915,10,7.628405451211058,922.5494154879837,-2328.6726243785506
v7_cm_monthly,2015,-0.008701630491183332,5,0.0,304.0793137060822,-1168.4654523893973
v7_cm_monthly,2016,0.05319799424475491,12,1.765545558930999,842.3843482554444,-2585.571595700537
v7_cm_monthly,2017,-0.08969766294725001,11,0.06239554148393818,1215.2738081719208,921.4608131826765
v7_cm_monthly,2018,0.008968306430120032,9,1.5773309384329497,796.9297590073288,33392.581523718334
v7_cm_monthly,2019,-0.04073682358981867,14,0.3063943658153726,1466.1766049794498,-706.4346038659252
v7_cm_monthly,2020,-0.08092009687937851,12,0.17344327815344843,1007.8424721972648,-2179.5485551138313
v7_cm_monthly,2021,0.022267868773071298,8,20.140640408621056,998.011123087135,3167.780907954022
v7_cm_monthly,2022,0.13130229124411796,8,1.530976667147865,2410.7257793101953,3260.1906753598782
v7_cm_monthly,2023,-0.014731788788732936,9,1.735296335898711,1162.448569999818,43245.46855702798
v7_cm_monthly,2024,0.06414648820150592,11,0.548662952272094,3506.371426494188,20651.636585383698
v7_cm_monthly,2025,0.03154952743538719,8,14.641403038610012,810.330707294675,24682.844726732008
v7_cm_monthly,2026,0.002005240366959926,6,0.24894270262922258,1138.0425683991903,496.89695208326555
v7_carry_monthly,2014,-0.03894075937190111,2,0.0,126.08469153258213,-636.5066026849314
v7_carry_monthly,2015,-0.06902961488340953,6,1.9394740827042785,338.8970176228327,9216.500637801313
v7_carry_monthly,2016,0.04478175508050919,4,0.7709837977642381,188.6070775001548,3900.960216548998
v7_carry_monthly,2017,-0.04009346884399023,4,0.1962042144577155,185.4358348786153,-61.86789458496143
v7_carry_monthly,2018,0.04929923120560953,6,5.3206626282247065,396.7651825601023,36033.977280310915
v7_carry_monthly,2019,-0.010029116132819094,1,0.0,81.43768500007347,-46.65114794201929
v7_carry_monthly,2020,-0.08022819324066155,7,0.06693053864213998,536.7856361235089,10657.864655072874
v7_carry_monthly,2021,0.038432482180797534,5,0.273094361968049,361.48919415108844,11367.528175513877
v7_carry_monthly,2022,-0.03376714906661227,10,3.0677849366236565,843.6305300000151,43752.438194476825
v7_carry_monthly,2023,0.0241707616762461,3,1.7852502570519984,249.52075558153928,7811.586533428692
v7_carry_monthly,2024,0.07391655658884488,3,0.0,321.2236389921328,15674.531210702802
v7_carry_monthly,2025,-0.032153346883239564,4,1.4347115686562044,175.18995484219653,3532.4651865695996
v7_carry_monthly,2026,0.06715817516893918,3,3.725428079162199,247.38978784090847,6043.193619250365
