candidate,year,params,train_sharpe
v4_carry_trend_daily,2014,"{""threshold"": 1.0}",0.306
v4_carry_trend_daily,2015,"{""threshold"": 0.5}",0.373
v4_carry_trend_daily,2016,"{""threshold"": 0.5}",0.384
v4_carry_trend_daily,2017,"{""threshold"": 0.5}",0.456
v4_carry_trend_daily,2018,"{""threshold"": 0.5}",0.403
v4_carry_trend_daily,2019,"{""threshold"": 0.5}",0.292
v4_carry_trend_daily,2020,"{""threshold"": 0.5}",0.246
v4_carry_trend_daily,2021,"{""threshold"": 0.5}",0.206
v4_carry_trend_daily,2022,"{""threshold"": 0.5}",0.231
v4_carry_trend_daily,2023,"{""threshold"": 0.5}",0.326
v4_carry_trend_daily,2024,"{""threshold"": 0.5}",0.397
v4_carry_trend_daily,2025,"{""threshold"": 0.5}",0.473
v4_carry_trend_daily,2026,"{""threshold"": 0.5}",0.483
v4_carry_trend_daily_fast,2014,"{""threshold"": 1.0}",0.532
v4_carry_trend_daily_fast,2015,"{""threshold"": 1.0}",0.526
v4_carry_trend_daily_fast,2016,"{""threshold"": 1.0}",0.434
v4_carry_trend_daily_fast,2017,"{""threshold"": 0.5}",0.406
v4_carry_trend_daily_fast,2018,"{""threshold"": 1.0}",0.243
v4_carry_trend_daily_fast,2019,"{""threshold"": 1.0}",0.222
v4_carry_trend_daily_fast,2020,"{""threshold"": 0.5}",0.243
v4_carry_trend_daily_fast,2021,"{""threshold"": 1.0}",0.139
v4_carry_trend_daily_fast,2022,"{""threshold"": 0.5}",0.107
v4_carry_trend_daily_fast,2023,"{""threshold"": 0.5}",0.072
v4_carry_trend_daily_fast,2024,"{""threshold"": 0.5}",0.096
v4_carry_trend_daily_fast,2025,"{""threshold"": 1.0}",0.163
v4_carry_trend_daily_fast,2026,"{""threshold"": 1.0}",0.203
v4_carry_trend_h4,2014,"{""threshold"": 1.0}",0.524
v4_carry_trend_h4,2015,"{""threshold"": 1.0}",0.429
v4_carry_trend_h4,2016,"{""threshold"": 1.0}",0.327
v4_carry_trend_h4,2017,"{""threshold"": 1.0}",0.365
v4_carry_trend_h4,2018,"{""threshold"": 1.0}",0.246
v4_carry_trend_h4,2019,"{""threshold"": 1.0}",0.214
v4_carry_trend_h4,2020,"{""threshold"": 1.0}",0.133
v4_carry_trend_h4,2021,"{""threshold"": 0.5}",0.045
v4_carry_trend_h4,2022,"{""threshold"": 1.0}",0.052
v4_carry_trend_h4,2023,"{""threshold"": 1.0}",0.098
v4_carry_trend_h4,2024,"{""threshold"": 1.0}",0.124
v4_carry_trend_h4,2025,"{""threshold"": 1.0}",0.193
v4_carry_trend_h4,2026,"{""threshold"": 1.0}",0.195
