candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v4_carry_trend_daily,True,"{""threshold"": 0.5}",317,0.318116,0.469581,2.041496,-0.079859,0.042506,182,0.070957,0.292536,2.381744,-0.066855,0.030118,40,0.218975,0.86746,3.680836,-0.079859,0.034837
v4_carry_trend_daily,True,"{""threshold"": 1.0}",384,0.134019,0.273828,1.404943,-0.089631,0.128957,226,0.020607,0.11544,1.190911,-0.064724,0.150059,75,0.074052,0.431618,2.008138,-0.089631,0.094919
v4_carry_trend_daily_fast,True,"{""threshold"": 0.5}",658,0.05292,0.12673,1.100479,-0.082771,0.50957,388,-0.004914,-0.010736,1.026151,-0.059564,0.490126,108,0.022048,0.178788,1.233276,-0.082771,
v4_carry_trend_daily_fast,True,"{""threshold"": 1.0}",590,0.057425,0.163901,1.15015,-0.067402,0.492681,362,-0.026983,-0.172193,0.928777,-0.053161,,102,0.034888,0.304368,1.37164,-0.058283,0.479226
v4_carry_trend_h4,True,"{""threshold"": 0.5}",2338,0.028295,0.074634,1.032052,-0.10011,0.876607,1496,-0.035716,-0.158486,0.946423,-0.084218,98.269582,385,0.026733,0.213113,1.158301,-0.053874,0.622904
v4_carry_trend_h4,True,"{""threshold"": 1.0}",2371,0.04798,0.128983,1.062363,-0.071328,0.706959,1500,-0.039075,-0.223504,0.917668,-0.071328,,406,0.036351,0.298473,1.209035,-0.059855,0.399851
