candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v4_carry_trend_daily,True,trend_carry,2014-01-02,2026-09-25,12.73,0.261013,0.018387,0.504989,0.702158,-0.075806,0.038351,261012.958494,2.66092,251,2.305166,0.36255,5533.113487,-1365.176673,4.053038,1135.79705,0.234312,18,19.719886,1079.334661,9080.773963,62202.703476,231963.130088,0.039147,36.178382,4.939086,0.963114,1.800995,0.6923076923076923,0.23607538917233126,0.038407013192677475,0.2143725364649809,6,0.8325344503268697,1.457672,0.102139,0.8604,6,"{""threshold"": 0.5}",2,0.4254150989620426,0.9280928442615648,20499.65577949636,1.093850745591765,0.21818998008129112,0.09771811062272096,single_regime_dependence;top1_trade_dependence,REJECTED
v4_carry_trend_daily_fast,True,trend_carry,2014-01-02,2026-09-25,12.73,-0.0329,-0.002625,-0.083373,-0.113339,-0.098146,0.023927,-32899.977906,-0.327443,501,0.952573,0.313373,2240.601537,-1073.513773,2.087166,-34.958676,-0.008671,16,39.361207,353.936128,17579.76815,27279.195735,-27213.724095,,35.089358,11.068318,0.383008,-0.297342,0.46153846153846156,0.3246542037984581,-0.05973386456079255,0.02853860799993302,4,0.7373880312612162,0.791124,-0.092119,0.1532,6,"{""threshold"": 1.0}",2,,,-92277.02299324417,0.7501222931158461,,0.02658376068227475,profit_factor;sharpe;positive_years;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe;top5_trade_dependence;top1_trade_dependence,REJECTED
v4_carry_trend_h4,True,trend_carry,2014-01-02,2026-09-25,12.73,-0.021995,-0.001746,-0.0457,-0.063695,-0.084877,0.024069,-21994.858773,-0.251421,1945,0.977481,0.300257,1082.287039,-475.10421,2.277999,-7.486478,-0.002318,21,152.809475,96.151157,28632.86006,24499.486716,-10427.826282,,14.721265,41.073393,0.435255,-0.162986,0.46153846153846156,0.39273690908228726,-0.05673766121240942,0.036832597900357644,3,1.0,0.934183,-0.04982,0.187,6,"{""threshold"": 1.0}",2,,,-71382.20504088327,0.8896066392207647,,0.010838776117613413,profit_factor;sharpe;positive_years;subperiod_not_positive;fragile_to_cost_2x;few_positive_pairs;single_regime_dependence;deflated_sharpe;top5_trade_dependence;top1_trade_dependence,REJECTED
