candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 2}",153,0.104444,0.342405,1.655388,-0.059499,0.056995,107,-0.007413,-0.048964,1.435376,-0.059499,0.059948,19,0.074541,0.710755,2.463642,-0.042451,0.073883
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 2}",191,0.59426,0.415913,1.627842,-0.241933,0.062191,127,0.020284,0.071553,1.329128,-0.241933,0.076666,28,0.336838,0.886291,2.80812,-0.125731,0.056386
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 3}",216,0.252954,0.562027,2.057418,-0.059958,0.034519,131,0.053351,0.285201,1.731752,-0.059958,0.037251,39,0.122184,0.868931,3.157057,-0.048766,0.037544
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 3}",257,1.361253,0.541974,1.772401,-0.250639,0.048075,144,0.224499,0.284999,1.339203,-0.250639,0.068261,48,0.460603,0.807464,2.765618,-0.191046,0.041998
v3_carry_trend_xs,True,"{""sizing"": ""risk_stop"", ""top_k"": 4}",233,0.352964,0.58892,2.21273,-0.06287,0.026098,149,0.100263,0.413024,2.011567,-0.060292,0.028226,33,0.165342,0.857508,3.755116,-0.06287,0.018825
v3_carry_trend_xs,True,"{""sizing"": ""vol_target"", ""top_k"": 4}",264,1.813629,0.546186,1.834146,-0.25854,0.035255,166,0.362119,0.35803,1.606725,-0.25854,0.038263,34,0.60839,0.821073,2.433609,-0.220962,0.03361
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""none""}",147,0.291257,0.458043,2.484454,-0.087799,0.019276,86,0.051616,0.242315,3.231112,-0.04627,0.014086,22,0.162189,0.687311,1.91474,-0.087799,0.075049
v3_carry_trend_mh,True,"{""threshold"": 0.5, ""trail"": ""atr3""}",507,0.041989,0.130637,1.081719,-0.071117,0.291902,273,0.02591,0.159266,1.13289,-0.051502,0.13916,123,-0.023794,-0.280883,0.844934,-0.063378,
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""none""}",161,0.090656,0.224102,1.47828,-0.079762,0.090724,93,0.015007,0.101404,1.348592,-0.042425,0.077554,27,0.039392,0.266826,1.90455,-0.079762,0.160538
v3_carry_trend_mh,True,"{""threshold"": 1.0, ""trail"": ""atr3""}",343,-0.01351,-0.040926,0.959735,-0.06959,,180,-0.03291,-0.263566,0.845082,-0.058372,,76,-0.020189,-0.302245,0.77285,-0.036803,
v3_carry_trend_7p,True,"{""sizing"": ""risk_stop""}",188,0.32114,0.464253,2.18728,-0.088796,0.021862,99,0.084348,0.354602,3.076505,-0.03985,0.012951,29,0.193815,0.746786,2.386019,-0.088796,0.0334
v3_carry_only,True,"{""sizing"": ""risk_stop""}",37,0.07788,0.203845,1.739278,-0.107946,0.064526,23,-0.045586,-0.280152,0.788847,-0.094746,,7,0.124924,0.803578,11.775143,-0.0452,0.002008
v3_carry_only,True,"{""sizing"": ""vol_target""}",32,0.360586,0.253262,2.182045,-0.303028,0.022302,18,-0.14973,-0.239045,0.876076,-0.271549,,6,0.546476,0.828702,15.619047,-0.199603,0.001341
