candidate,is_v2,family,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,psr_vs_zero,t_stat,positive_year_ratio,max_single_year_share,ret_A,ret_B,positive_pairs,max_regime_share,stress_pf,stress_net_return,dsr,n_trials_v2,final_params,param_changes,diag_top1_share,diag_top5_share,diag_pnl_ex_top5,diag_pf_ex_top5,diag_swap_share,diag_ret_2024_2026,gate_fail,status
v3_carry_trend_xs,True,trend_carry,2014-01-02,2026-09-25,12.73,0.499951,0.032366,0.499682,0.728126,-0.133358,0.071593,499950.512026,2.45102,179,1.856878,0.402235,18123.646184,-6567.66395,2.759527,3364.036216,0.195099,9,14.063186,1207.653631,16647.224755,7203.450903,611606.256513,0.027219,93.001256,8.371386,0.962679,1.782066,0.6923076923076923,0.3018138938460388,0.2942086908204915,0.1589711324491141,5,0.612688067043841,1.643949,0.344233,0.7028,13,"{""sizing"": ""risk_stop"", ""top_k"": 4}",3,0.6823287118424217,1.242991023835017,-146320.07817699888,0.7917863373320202,0.011962636515534813,0.06757479680495959,top5_trade_dependence;top1_trade_dependence,REJECTED
v3_carry_trend_mh,True,trend_carry,2014-01-02,2026-09-25,12.73,0.158105,0.011599,0.367694,0.501839,-0.086675,0.033908,158105.212056,1.533042,202,1.944887,0.386139,5391.611789,-1743.801883,3.091872,1011.456862,0.189624,10,15.870187,1113.415842,5594.181058,55818.355206,154090.111902,0.036305,27.693966,4.020767,0.903435,1.311345,0.6923076923076923,0.23165041218735197,0.0022622434813486247,0.15549120959916762,5,0.4154816636289863,1.240361,0.026397,0.5371,13,"{""threshold"": 0.5, ""trail"": ""none""}",3,0.5981409076831163,1.097987502248206,-20020.24656372785,0.9074128759242003,0.27319849377863387,0.07366327833396458,sharpe;top5_trade_dependence;top1_trade_dependence,REJECTED
v3_carry_trend_7p,True,trend_carry,2014-01-02,2026-09-25,12.73,0.281057,0.01965,0.525818,0.72877,-0.082939,0.038957,281056.945972,2.605319,128,2.856309,0.40625,9215.166623,-2207.434482,4.174605,2432.997217,0.5126,7,10.056356,2082.0625,4134.360815,61395.170201,254162.834371,0.016267,32.299694,2.484381,0.96841,1.875277,0.8461538461538461,0.24453568372351098,0.07954016901426142,0.18666908628457834,7,0.5340825885527096,1.898217,0.155065,0.7473,13,"{""sizing"": ""risk_stop""}",1,0.3924195704499296,0.9255069749939957,23198.88928182941,1.1382820399414277,0.1971435741355559,0.09060457131175315,top1_trade_dependence,REJECTED
v3_carry_only,True,carry,2014-01-02,2026-09-25,12.73,0.464203,0.030411,0.392693,0.546798,-0.187934,0.085748,464202.605217,1.60136,28,5.322273,0.285714,78450.502314,-5896.014473,13.305683,18202.990324,0.700757,14,2.199828,7562.964286,1247.052905,179571.002385,331359.779579,0.003763,44.537604,0.992847,0.918108,1.400502,0.6153846153846154,0.3637975792059878,-0.045131383105478484,0.5334074021401969,6,0.8766070168523127,3.668872,0.295539,0.5867,13,"{""sizing"": ""vol_target""}",2,0.6107707625923927,1.186006963723371,-94804.72290148275,0.19602705064248893,0.3523184911489517,0.26298822682480716,trades;sharpe;subperiod_not_positive;single_regime_dependence;top5_trade_dependence;top1_trade_dependence,REJECTED
